"Program","AirstripID","DisplayName","Name","ICAO","GPS","LatDeg","LongDeg","Variation","Elevation","RwDirection","RwClass","RwSurface","RwLength","TODA","RwWidth","Wet","Dry","Slope","MAFBase"
"EC","AS000001","SHL","Shell","SESM","NULL","-1.50472223758698","-78.0633316040039","NULL","3415","12-20","1","Paved","1500","NULL","25","NULL","NULL","NULL","1"
"EC","AS000002","MNT","Montalvo","SEMO","NULL","-2.06716656684875","-76.9761657714844","NULL","1000","08/26","1","asphalt","1480","NULL","24","NULL","NULL","0","0"
"EC","AS000004","MAK","Makuma","SEAK","NULL","-2.14583325386047","-77.6995010375977","NULL","2200","08/26","2","dirt, gravel, grass","1013","NULL","10","NULL","NULL","0%","0"
"EC","AS000005","CPZ","Copataza","SEOZ","NULL","-2.09116673469543","-77.4463348388672","NULL","1500","14/32","1","Dirt","650","NULL","29","NULL","NULL","0%","0"
"EC","AS000006","ACA","Acado","SEAC","NULL","-1.39750003814697","-77.1989974975586","NULL","1100","11/29","3","Dirt/Grass","434","NULL","11","NULL","NULL","1%","0"
"EC","AS000007","ATS","Achuar","SEAT","NULL","-2.02466678619385","-77.4673309326172","NULL","1450","13/31","3","Dirt/Clay","600","NULL","19","NULL","NULL","0","0"
"EC","AS000008","ACR","Alto Corrientes","SEOC","NULL","-1.9099999666214","-76.9595031738281","NULL","1150","18/36","I","Dirt/grass","425","NULL","16","NULL","NULL","1","0"
"EC","AS000009","AMB","Ambato","SEAM","NULL","-1.20716667175293","-78.5715026855469","NULL","8500","10/19","1","asphalt","1925","NULL","25","NULL","NULL","2%","0"
"EC","AS000010","ATA","Atacapi","SEXP","NULL","-1.35399997234344","-77.6221694946289","NULL","1600","04/22","I","Dirt","480","NULL","44","NULL","NULL","0","0"
"EC","AS000011","AYU","Ayuy","SEYY","NULL","-2.08299994468689","-77.5806655883789","NULL","1950","09/27","I","Sod","800","NULL","20","NULL","NULL","0","0"
"EC","AS000012","BAL","Balzaura","SEBL","NULL","-1.94550001621246","-76.3058319091797","NULL","750","04/22","3","Grass","550","NULL","17","NULL","NULL","0","0"
